model,round,describe,hash,unweighted,weighted,ci_low,ci_high,worst_fold,false_play,published_recall
dinov2,3,undistort=0.3 centre_crop=0.5 saturation=0.0,f0fa83301648,0.945,0.9645,0.8849,0.9887,0.7778,1.0,0.945
dinov2,3,undistort=0.3 centre_crop=0.7 saturation=0.0,59db8c24aaa2,0.9005,0.9397,0.71,1.0,0.3333,0.5391,0.9005
dinov2,3,undistort=0.3 top_crop=0.2 saturation=0.0,fdf31ca00a0d,0.9905,0.9929,0.9714,1.0,0.9333,0.0206,0.9905
dinov2,3,undistort=0.3 top_crop=0.35 saturation=0.0,97f9e4d34284,0.9663,0.9645,0.9187,0.9952,0.8333,0.1852,0.9663
dinov2,3,undistort=0.3 letterbox=False saturation=0.0,7ffb2158e4b4,0.9791,0.9752,0.9583,0.9966,0.9333,0.0,0.9791
dinov2,3,undistort=0.3 per_image_standardise=True saturation=0.0,70b383e53e36,0.9966,0.9858,0.9898,1.0,0.9762,0.0206,0.9966
dinov2,3,undistort=0.3 clahe=on saturation=0.0,441d34898cac,0.9983,0.9929,0.9949,1.0,0.9881,1.0,0.9983
dinov2,3,undistort=0.3 clahe=auto saturation=0.0,77cc4eaa9d0d,1.0,1.0,1.0,1.0,1.0,0.8683,1.0
dinov2,3,undistort=0.3 gamma=0.7 saturation=0.0,8f8d3d397cdd,1.0,1.0,1.0,1.0,1.0,0.4403,1.0
dinov2,3,undistort=0.3 gamma=1.4 saturation=0.0,13ee8f4531bb,0.9932,0.9716,0.9796,1.0,0.9524,0.0,0.9932
dinov2,3,undistort=0.3 saturation=0.0 denoise=25.0,52a7c1ce0332,0.9685,0.8688,0.9056,1.0,0.7798,0.0329,0.9685
dinov2,3,undistort=0.3 saturation=0.0 sharpen=0.6,efa3cfb4c131,0.9753,0.9858,0.9277,1.0,0.8333,0.9424,0.9753
,,RESOLUTION_FLOOR,,0.0119,0.0917,,,,,
